Running command: python3 base5.py -i misc/4.1.01.tiff
 Char | Huffman code 
 116  |   011001101
 164  |   011001100
 111  |   010101111
 120  |   010101110
 142  |   010101101
 161  |   010101100
 119  |   001101111
 122  |   001101001
 170  |   001101000
 167  |   000010011
 148  |  1111110001
 151  |  1101100111
 173  |  1101100110
 180  |  1100100110
 154  |  1010101111
 183  |  1010101110
 157  |  0011011101
 196  |  0000100101
 176  | 11111100001
 186  | 11111100000
 192  | 11101110011
 189  | 11101110001
 206  | 11101110000
 202  | 11001001111
 216  | 10110100011
 209  | 10110100010
 199  | 10110100001
 162  | 10110100000
 222  | 10011010111
 212  | 10011010101
 219  | 01100111011
 0    | 01100111001
 165  | 01100111000
 177  | 00110111000
 185  | 00001001001
 190  |111011100101
 226  |110010011101
 168  |110010011100
 197  |100110101100
 193  |100110101001
 229  |001101110011
 233  |001101110010
 211  |000010010001
 207  |000010010000
 200  |1110111001001
 204  |1110111001000
 172  |1001101011010
 175  |1001101010001
 179  |1001101010000
 218  |0110011101011
 236  |0110011101010
 215  |0110011101000
 182  |10011010110110
 240  |01100111010011
 203  |100110101101110
 254  |011001110100100
 250  |1001101011011111
 247  |1001101011011110
 243  |0110011101001011
 237  |01100111010010101
 230  |01100111010010100
Entropía de la fuente:  6.900450087241475
Longitud media del código de Huffman:  6.929234350539884
Varianza del código de Huffman:  1.0091880469563492
Eficiencia de la codificación original de la fuente:  0.8625562609051843
Eficiencia del nuevo código de Huffman:  0.8661542938174855
Memoria original:  1624056   Memoria comprimido:  1443576
Tasa de compresión:  0.11112917288566404
Cantidad de simbolos en el diccionario:  185
Incoherencias:  0
Running command: python3 base5.py -i misc/4.1.02.tiff
 Char | Huffman code 
----------------------
 1    |        1001
 2    |       10100
 4    |       10001
 3    |       01110
 5    |       01010
 20   |       00010
 14   |       00001
 6    |       00000
 7    |      111110
 16   |      111101
 18   |      111100
 13   |      110101
 15   |      110010
 12   |      110001
 8    |      101111
 23   |      101110
 19   |      101101
 22   |      101100
 10   |      100001
 9    |      100000
 11   |      011111
 25   |      011011
 17   |      011001
 21   |      010001
 27   |      001111
 28   |      001110
 30   |      001100
 29   |      001010
 34   |      001000
 26   |      000111
 32   |      000110
 49   |     1111110
 37   |     1110111
 31   |     1110110
 35   |     1110100
 24   |     1110011
 44   |     1110010
 57   |     1110000
 52   |     1101111
 42   |     1101101
 46   |     1101100
 38   |     1101000
 40   |     1100111
 64   |     1010111
 62   |     1010110
 54   |     1010101
 72   |     0110101
 39   |     0110100
 59   |     0110000
 47   |     0101110
 33   |     0101100
 68   |     0100111
 50   |     0100110
 66   |     0100100
 60   |     0100001
 55   |     0100000
 43   |     0011011
 70   |     0010111
 80   |     0010010
 84   |    11111110
 74   |    11101011
 88   |    11101010
 82   |    11100011
 76   |    11011101
 93   |    11011100
 86   |    11010010
 78   |    11001101
 100  |    11000011
 91   |    10101001
 48   |    01111011
 95   |    01111010
 98   |    01111001
 45   |    01100011
 51   |    01011111
 103  |    01011011
 56   |    01011010
 36   |    01001010
 61   |    00110100
 105  |    00101101
 108  |    00101100
 41   |    00100111
 110  |    00100110
 53   |   111000100
 115  |   110000100
 58   |   011110001
 123  |   010111100
 113  |   010010111
 67   |  1111111100
 118  |  1110001011
 102  |  1110001010
 97   |  1101001111
 65   |  1101001110
 152  |  1101001100
 107  |  1100110011
 155  |  1100110010
 71   |  1100110001
 69   |  1100110000
 146  |  1100001011
 96   |  1100001010
 121  |  1100000111
 134  |  1100000101
 75   |  1100000100
 149  |  1100000011
 90   |  1100000010
 77   |  1010100011
 106  |  1010100010
 125  |  1010100001
 128  |  1010100000
 161  |  0111100000
 158  |  0110001011
 137  |  0110001010
 112  |  0110001001
 143  |  0110001000
 129  |  0100101101
 126  |  0100101100
 164  |  0011010111
 111  |  0011010101
 117  |  0011010100
 139  | 11111111110
 120  | 11111111101
 116  | 11111111100
 114  | 11111111011
 132  | 11010011011
 157  | 11000001101
 140  | 11000000011
 119  | 11000000010
 167  | 11000000001
 122  | 11000000000
 130  | 01111000010
 133  | 01011110111
 154  | 01011110101
 0    | 01011110100
 145  | 00110101101
 136  | 00110101100
 151  |111111111111
 131  |111111111110
 170  |110100110101
 142  |110100110100
 148  |110000011000
 162  |010111101101
 173  |1111111101010
 165  |0111100001101
 189  |0111100001100
 180  |11111111010110
 168  |11111111010001
 183  |11111111010000
 172  |01111000011110
 192  |01111000011101
 197  |01111000011100
 177  |01011110110011
 196  |01011110110010
 185  |01011110110000
 176  |111111110101111
 200  |111111110101110
 186  |110000011001111
 204  |110000011001110
 179  |110000011001101
 229  |110000011001100
 193  |011110000111111
 207  |011110000111110
 226  |010111101100011
 182  |1111111101001101
 206  |1111111101001100
 211  |1111111101001111
 203  |1111111101001110
 202  |1111111101001001
 175  |1100000110010101
 199  |1100000110010100
 218  |1100000110010111
 230  |1100000110010110
 222  |1100000110010001
 215  |1100000110010000
 245  |1100000110010011
 254  |1100000110010010
 212  |0101111011000100
 249  |11111111010010101
 233  |11111111010010100
 209  |11111111010010111
 214  |11111111010010110
 237  |11111111010010001
 190  |01011110110001010
 253  |010111101100010111
 236  |010111101100010110
 216  |111111110100100001
 240  |111111110100100000
Entropía de la fuente:  6.296872084846862
Longitud media del código de Huffman:  6.328857218370706
Varianza del código de Huffman:  1.9639248188391725
Eficiencia de la codificación original de la fuente:  0.7871090106058577
Eficiencia del nuevo código de Huffman:  0.7911071522963382
Memoria original:  1624056   Memoria comprimido:  1283160
Tasa de compresión:  0.20990409197712395
Cantidad de simbolos en el diccionario:  185
Incoherencias:  0
Running command: python3 base5.py -i misc/4.1.03.tiff
 Char | Huffman code 
----------------------
 145  |        1100
 144  |        1010
 146  |        1001
 143  |        0111
 147  |        0011
 142  |        0010
 141  |       11101
 148  |       11100
 149  |       11010
 150  |       10001
 140  |       01101
 151  |       01010
 139  |      111110
 152  |      111101
 138  |      100001
 153  |      010111
 137  |      000101
 136  |     1101101
 154  |     1011100
 135  |     1011010
 255  |     1000001
 134  |     0100100
 133  |     0001001
 155  |     0000000
 132  |    11011110
 131  |    11011001
 156  |    10111100
 157  |    10110010
 130  |    10000000
 106  |    01100110
 129  |    01100101
 107  |    01100011
 104  |    01100010
 109  |    01100001
 158  |    01100000
 105  |    01011011
 110  |    01011001
 108  |    01001111
 111  |    01001110
 103  |    01001100
 102  |    01000111
 160  |    01000110
 101  |    01000101
 159  |    01000000
 112  |    00011100
 128  |    00001110
 161  |    00001011
 127  |    00001001
 113  |    00000110
 163  |    00000011
 162  |   111111111
 114  |   111111101
 100  |   111111000
 115  |   111100100
 117  |   111100010
 99   |   111100001
 126  |   110111111
 98   |   110111110
 166  |   110111010
 125  |   110111000
 116  |   110110001
 164  |   110110000
 95   |   101111110
 165  |   101111101
 118  |   101111100
 124  |   101110111
 121  |   101110110
 94   |   101110100
 119  |   101101111
 96   |   101101110
 97   |   101101101
 167  |   101100111
 123  |   101100110
 120  |   101100011
 168  |   101100000
 122  |   100000011
 93   |   100000010
 91   |   011001110
 90   |   011001001
 184  |   011001000
 185  |   010110100
 80   |   010110001
 169  |   010110000
 92   |   010011010
 187  |   010010110
 64   |   010010101
 63   |   010010100
 66   |   010000111
 77   |   010000110
 73   |   010000101
 74   |   010000100
 62   |   010000011
 68   |   010000010
 186  |   000111110
 67   |   000111101
 60   |   000111100
 75   |   000111011
 72   |   000111010
 87   |   000110111
 182  |   000110110
 86   |   000110011
 69   |   000110010
 71   |   000110101
 76   |   000110100
 84   |   000110001
 78   |   000110000
 83   |   000100011
 85   |   000100001
 88   |   000100000
 57   |   000011111
 183  |   000011110
 82   |   000011011
 65   |   000011010
 56   |   000011001
 188  |   000011000
 171  |   000010101
 79   |   000010100
 81   |   000010000
 89   |   000001110
 70   |   000001011
 170  |   000001001
 172  |   000001000
 61   |   000000101
 177  |   000000100
 59   |  1111111101
 179  |  1111111100
 254  |  1111111001
 178  |  1111111000
 58   |  1111110111
 189  |  1111110101
 173  |  1111110100
 180  |  1111110011
 238  |  1111110010
 54   |  1111001111
 53   |  1111001110
 181  |  1111001101
 55   |  1111001100
 176  |  1111000111
 175  |  1111000001
 52   |  1111000000
 174  |  1101110110
 190  |  1011111110
 232  |  1011110101
 233  |  1011110100
 248  |  1011011000
 237  |  1011000100
 51   |  1011000010
 249  |  0100110111
 191  |  0100110110
 49   |  0100101110
 231  |  0100010011
 239  |  0100010001
 45   |  0100010000
 50   |  0001111111
 247  |  0001111110
 47   |  0000100011
 46   |  0000011111
 246  |  0000010101
 236  |  0000010100
 48   | 11110010111
 223  | 11110010101
 229  | 11110010100
 228  | 11110001101
 222  | 11110001100
 44   | 11011101110
 230  | 11011100111
 225  | 11011100110
 193  | 11011100101
 192  | 10111111111
 227  | 10111111110
 220  | 10111101110
 219  | 10111101100
 221  | 10111010110
 234  | 10111010101
 224  | 10111010100
 194  | 10110110010
 235  | 10110001010
 226  | 10110000111
 43   | 10110000110
 218  | 01100111101
 42   | 01100111100
 240  | 01011010100
 0    | 01001011110
 201  | 00010001011
 241  | 00010001001
 202  | 00001000101
 195  | 00001000100
 41   | 00000111101
 217  |111111011011
 196  |111111011010
 40   |111111011001
 216  |111100101101
 198  |111100101100
 200  |110111011111
 197  |110111001001
 199  |101111011011
 214  |101111011010
 39   |101110101110
 215  |101101100110
 242  |101100010110
 210  |011001111110
 204  |011001111101
 203  |011001111100
 213  |010110101111
 205  |010110101110
 245  |010110101100
 243  |010110101011
 209  |010110101010
 211  |010001001011
 250  |010001001010
 253  |000100010100
 212  |000001111001
 8    |1111110110000
 38   |1101110111101
 36   |1101110111100
 244  |1011110111111
 206  |1011110111110
 207  |1101110010001
 33   |1101110010000
 6    |1011110111101
 37   |1011101011111
 34   |1011101011110
 208  |1011011001110
 28   |1011000101111
 1    |1011000101110
 251  |0110011111111
 31   |0101101011010
 30   |0100101111111
 35   |0100101111110
 11   |0100101111101
 21   |0100101111100
 7    |0100010010011
 5    |0100010010010
 3    |0100010010000
 25   |0001000101011
 12   |0001000101010
 27   |0001000100011
 10   |0001000100010
 4    |0001000100001
 32   |0000011110001
 23   |0000011110000
 9    |11111101100011
 13   |11111101100010
 20   |10111101111001
 15   |10111101111000
 17   |10110110011111
 22   |01100111111101
 26   |01100111111100
 24   |01011010110111
 29   |01011010110110
 252  |01000100100011
 16   |01000100100010
 19   |00010001000001
 14   |00010001000000
 2    |101101100111101
 18   |101101100111100
Entropía de la fuente:  5.975899148516753
Longitud media del código de Huffman:  5.997667066501095
Varianza del código de Huffman:  4.74333629405887
Eficiencia de la codificación original de la fuente:  0.7469873935645941
Eficiencia del nuevo código de Huffman:  0.7497083833126369
Memoria original:  1624056   Memoria comprimido:  1283160
Tasa de compresión:  0.20990409197712395
Cantidad de simbolos en el diccionario:  256
Incoherencias:  0
Running command: python3 base5.py -i misc/4.1.04.tiff
 Char | Huffman code 
----------------------
 124  |      000101
 126  |      000011
 125  |      000001
 123  |     1111110
 128  |     1111100
 129  |     1110110
 60   |     1110101
 121  |     1110010
 55   |     1110000
 57   |     1101111
 122  |     1101100
 130  |     1101011
 56   |     1101010
 86   |     1101001
 120  |     1100111
 132  |     1100110
 87   |     1100100
 118  |     1100011
 62   |     1100010
 58   |     1100001
 61   |     1100000
 88   |     1011111
 54   |     1011110
 84   |     1011100
 116  |     1011011
 117  |     1011001
 65   |     1011000
 138  |     1010110
 114  |     1010101
 150  |     1010011
 146  |     1010010
 131  |     1010001
 64   |     1010000
 63   |     1001110
 134  |     1001101
 83   |     1001100
 89   |     1001011
 53   |     1001001
 135  |     1001000
 133  |     1000111
 148  |     1000110
 139  |     1000100
 137  |     1000011
 143  |     1000010
 142  |     1000001
 66   |     1000000
 140  |     0111110
 112  |     0111101
 141  |     0111100
 115  |     0111011
 82   |     0111010
 147  |     0111001
 149  |     0110111
 90   |     0110110
 113  |     0110100
 144  |     0110011
 111  |     0110010
 155  |     0110001
 52   |     0110000
 109  |     0101111
 107  |     0101110
 151  |     0101101
 81   |     0101100
 106  |     0101010
 101  |     0101001
 108  |     0100111
 152  |     0100101
 100  |     0100011
 157  |     0100010
 103  |     0100001
 158  |     0100000
 156  |     0011111
 159  |     0011110
 154  |     0011101
 160  |     0011011
 91   |     0011010
 80   |     0010111
 78   |     0010110
 105  |     0010101
 104  |     0010011
 79   |     0010010
 67   |     0010001
 99   |     0001111
 92   |     0001110
 50   |     0001100
 75   |     0001000
 161  |     0000101
 98   |     0000001
 77   |     0000000
 163  |    11111111
 74   |    11111110
 69   |    11111011
 70   |    11110111
 165  |    11110101
 97   |    11110100
 73   |    11110010
 94   |    11110001
 49   |    11110000
 96   |    11101111
 48   |    11101001
 72   |    11101000
 164  |    11100111
 71   |    11100010
 95   |    11011101
 235  |    11011100
 234  |    11011010
 233  |    10111010
 47   |    10110101
 166  |    10101111
 232  |    10101110
 46   |    10101001
 237  |    10001010
 45   |    01111111
 236  |    01110001
 167  |    01010111
 44   |    01010001
 241  |    01010000
 240  |    01001101
 231  |    01001100
 239  |    01001000
 244  |    00110010
 243  |    00110001
 168  |    00100000
 41   |    00011010
 43   |    00001001
 242  |    00001000
 171  |   111110101
 172  |   111011101
 223  |   111011100
 169  |   111001101
 222  |   111000111
 220  |   111000110
 40   |   110110110
 246  |   110100011
 39   |   110100010
 173  |   110100000
 37   |   110010111
 229  |   110010110
 245  |   110010100
 227  |   101110111
 174  |   101110110
 219  |   101101000
 38   |   101010001
 33   |   101010000
 0    |   100111101
 226  |   100111100
 228  |   100101011
 35   |   100101010
 175  |   100101000
 225  |   100010111
 32   |   100010110
 36   |   011111101
 224  |   011100001
 23   |   011010110
 214  |   011010101
 215  |   011010100
 29   |   010101101
 30   |   010101100
 216  |   010010010
 217  |   001110011
 26   |   001110001
 177  |   001110000
 176  |   001100110
 212  |   001100001
 27   |   001100000
 24   |   001010011
 208  |   001010010
 31   |   001010001
 21   |   001000011
 218  |   001000010
 22   |   000110111
 20   |   000110110
 178  |   000100111
 210  |   000100110
 28   |   000100101
 207  |   000100100
 254  |  1111101001
 19   |  1111101000
 202  |  1111011011
 205  |  1111011010
 206  |  1111011001
 209  |  1111011000
 15   |  1111001111
 203  |  1111001110
 18   |  1111001101
 180  |  1111001100
 201  |  1110011001
 211  |  1101101111
 182  |  1101101110
 181  |  1101000011
 16   |  1101000010
 188  |  1100101011
 186  |  1011010011
 183  |  1011010010
 193  |  1001111111
 184  |  1001111110
 189  |  1001111101
 192  |  1001111100
 14   |  1001010011
 195  |  1001010010
 185  |  0111111001
 190  |  0111111000
 191  |  0111000000
 194  |  0110101111
 200  |  0110101110
 248  |  0100100111
 199  |  0100100110
 12   |  0011100101
 198  |  0011001111
 197  |  0011001110
 13   |  0010100001
 11   | 11100110001
 253  | 11100110000
 10   | 11001010100
 9    | 01110000010
 7    | 00111001001
 252  | 00111001000
 251  | 00101000000
 6    |110010101010
 249  |011100000111
 5    |001010000011
 250  |001010000010
 1    |1100101010111
 3    |1100101010110
 4    |0111000001101
 2    |01110000011001
 8    |011100000110001
 42   |0111000001100001
 17   |0111000001100000
Entropía de la fuente:  7.429316403244325
Longitud media del código de Huffman:  7.455303230528404
Varianza del código de Huffman:  0.81752260053097
Eficiencia de la codificación original de la fuente:  0.9286645504055406
Eficiencia del nuevo código de Huffman:  0.9319129038160505
Memoria original:  1624056   Memoria comprimido:  1624056
Tasa de compresión:  0.0
Cantidad de simbolos en el diccionario:  229
Incoherencias:  0
Running command: python3 base5.py -i misc/4.1.05.tiff
 Char | Huffman code 
----------------------
 222  |       10111
 197  |       00100
 223  |       00001
 198  |      111110
 221  |      111101
 157  |      101011
 196  |      101010
 199  |      100110
 158  |      100100
 156  |      100001
 159  |      011101
 155  |      010101
 103  |      010100
 104  |      010010
 101  |      010001
 105  |      001111
 100  |      001110
 97   |      001101
 99   |      001011
 160  |      000111
 102  |      000110
 96   |      000001
 98   |      000000
 106  |     1111110
 161  |     1111000
 107  |     1110111
 95   |     1110101
 108  |     1110100
 195  |     1110011
 94   |     1101101
 109  |     1101100
 92   |     1101011
 93   |     1101010
 154  |     1101001
 110  |     1100111
 162  |     1100101
 163  |     1100011
 220  |     1100010
 91   |     1011011
 90   |     1011001
 111  |     1010010
 89   |     1010000
 112  |     1001110
 164  |     1001010
 224  |     1000110
 165  |     0111111
 168  |     0111101
 113  |     0111001
 88   |     0111000
 153  |     0110110
 167  |     0110101
 200  |     0110011
 166  |     0110010
 169  |     0100001
 170  |     0100000
 115  |     0011001
 87   |     0010101
 86   |     0010100
 114  |    11111110
 171  |    11110011
 172  |    11100101
 85   |    11100000
 83   |    11011110
 173  |    11011100
 84   |    11010001
 152  |    11010000
 116  |    11001100
 117  |    11000011
 194  |    11000010
 81   |    11000000
 219  |    10110101
 174  |    10110001
 82   |    10110000
 118  |    10100111
 70   |    10100011
 120  |    10011111
 79   |    10010111
 80   |    10010110
 76   |    10001110
 78   |    10001011
 73   |    10001010
 67   |    10001001
 72   |    10000011
 71   |    10000010
 75   |    10000000
 77   |    01111101
 175  |    01111100
 68   |    01111000
 66   |    01101111
 218  |    01101110
 121  |    01101001
 74   |    01100011
 64   |    01100010
 65   |    01100001
 119  |    01011111
 62   |    01011110
 176  |    01011101
 63   |    01011100
 69   |    01011010
 201  |    01011000
 60   |    01001110
 123  |    01001101
 122  |    00010111
 225  |    00010101
 61   |    00010100
 193  |    00010010
 124  |    00010001
 177  |   111111111
 125  |   111111110
 57   |   111011011
 151  |   111011010
 59   |   111011000
 217  |   111000111
 58   |   111000101
 56   |   111000100
 126  |   111000010
 127  |   110010011
 178  |   110010001
 128  |   110000011
 131  |   110000010
 129  |   101101001
 216  |   101000100
 55   |   100111101
 130  |   100111100
 150  |   100010000
 54   |   100000011
 179  |   011110011
 0    |   011000001
 202  |   011000000
 135  |   010110111
 133  |   010110110
 230  |   010110010
 53   |   010011110
 136  |   001100011
 180  |   001100010
 132  |   001100001
 203  |   001100000
 192  |   000101101
 134  |   000101100
 137  |   000100110
 215  |   000100001
 229  |   000100000
 138  |  1111001011
 228  |  1111001010
 51   |  1111001000
 145  |  1110110011
 226  |  1110010011
 143  |  1110010010
 140  |  1110010001
 149  |  1110010000
 148  |  1110001101
 139  |  1110001100
 146  |  1110000111
 147  |  1110000110
 227  |  1101111101
 181  |  1101111100
 141  |  1101110111
 204  |  1101110110
 184  |  1101110100
 142  |  1100110111
 52   |  1100110110
 48   |  1100110101
 214  |  1100100101
 144  |  1100100100
 50   |  1100100001
 183  |  1011010001
 182  |  1011010000
 49   |  1010011011
 188  |  1010011010
 213  |  1010011001
 210  |  1010011000
 205  |  1010001010
 185  |  1000111111
 190  |  1000111110
 211  |  1000111100
 186  |  1000100011
 231  |  1000100010
 212  |  1000000101
 209  |  1000000100
 189  |  0111100100
 206  |  0110100011
 187  |  0110100010
 191  |  0110100001
 233  |  0110100000
 46   |  0101100110
 47   |  0100111111
 232  |  0100110011
 207  |  0100110010
 208  |  0100110001
 40   |  0100110000
 44   |  0001001110
 41   | 11110010011
 45   | 11110010010
 43   | 11101100101
 37   | 11011111110
 39   | 11011111101
 36   | 11011101010
 38   | 11001101001
 42   | 11001101000
 35   | 11001000001
 34   | 10100010111
 33   | 10100010110
 31   | 10001111011
 234  | 10001111010
 28   | 01111001011
 30   | 01011001111
 29   | 01011001110
 237  | 01001111101
 32   | 01001111100
 238  | 00010011111
 236  | 00010011110
 24   |111011001000
 27   |110111111111
 26   |110111111001
 25   |110111111000
 239  |110111010111
 235  |110010000001
 22   |1110110010010
 23   |1101111111101
 240  |1101111111100
 20   |1101110101100
 21   |0111100101011
 1    |0111100101010
 19   |0111100101000
 3    |11011101011011
 243  |11011101011010
 17   |11001000000011
 15   |11001000000000
 18   |01111001010011
 9    |01111001010010
 8    |111011001001100
 241  |110010000000100
 13   |110010000000010
 242  |1110110010011111
 14   |1110110010011110
 244  |1110110010011011
 10   |1110110010011010
 4    |1110110010011101
 12   |1100100000001010
 5    |1100100000000111
 7    |11001000000010111
 6    |11001000000010110
 2    |11101100100111001
 246  |11001000000001100
 245  |110010000000011011
 16   |110010000000011010
 11   |111011001001110001
 254  |111011001001110000
Entropía de la fuente:  7.071738499624266
Longitud media del código de Huffman:  7.104290767885891
Varianza del código de Huffman:  1.860517299966197
Eficiencia de la codificación original de la fuente:  0.8839673124530333
Eficiencia del nuevo código de Huffman:  0.8880363459857363
Memoria original:  1624056   Memoria comprimido:  1443576
Tasa de compresión:  0.11112917288566404
Cantidad de simbolos en el diccionario:  248
Incoherencias:  0
Running command: python3 base5.py -i misc/4.1.06.tiff
 Char | Huffman code 
----------------------
 221  |      111010
 220  |      100111
 222  |      100011
 216  |      001100
 75   |      000111
 77   |      000101
 79   |      000011
 223  |      000010
 74   |     1111111
 217  |     1111110
 76   |     1111101
 78   |     1111100
 73   |     1111001
 72   |     1110011
 80   |     1110001
 71   |     1101111
 81   |     1101110
 83   |     1101010
 224  |     1101001
 82   |     1100100
 70   |     1100010
 211  |     1011111
 215  |     1011100
 69   |     1011010
 219  |     1011000
 212  |     1010110
 84   |     1010100
 213  |     1010010
 67   |     1010000
 85   |     1001101
 214  |     1001011
 210  |     1001010
 218  |     1001001
 209  |     1000101
 68   |     1000100
 87   |     1000011
 86   |     1000010
 208  |     0111010
 66   |     0111000
 225  |     0110111
 88   |     0110101
 89   |     0101110
 207  |     0101100
 65   |     0101001
 205  |     0011010
 206  |     0010101
 193  |     0010100
 90   |     0010011
 64   |     0010001
 204  |     0001101
 192  |     0001001
 226  |     0000010
 91   |     0000001
 203  |    11110100
 202  |    11110001
 92   |    11101111
 199  |    11101110
 63   |    11101100
 195  |    11100100
 194  |    11100001
 201  |    11100000
 227  |    11011000
 200  |    11010110
 196  |    11010000
 198  |    11001110
 197  |    11001101
 94   |    11001010
 93   |    11000110
 191  |    11000011
 95   |    11000001
 28   |    10111100
 31   |    10111011
 96   |    10110110
 62   |    10101111
 0    |    10101011
 30   |    10100111
 33   |    10100110
 29   |    10100010
 25   |    10011000
 228  |    10010000
 27   |    10000011
 35   |    10000010
 190  |    10000000
 97   |    01111111
 98   |    01111110
 26   |    01111101
 32   |    01111100
 34   |    01111011
 188  |    01111001
 99   |    01111000
 189  |    01110111
 61   |    01110110
 149  |    01110011
 147  |    01110010
 179  |    01101100
 171  |    01101001
 176  |    01100111
 181  |    01100110
 36   |    01100101
 153  |    01100100
 151  |    01100011
 185  |    01100010
 37   |    01100001
 167  |    01100000
 38   |    01011111
 145  |    01011110
 165  |    01011011
 163  |    01011010
 229  |    01010111
 159  |    01010110
 184  |    01010101
 24   |    01010100
 39   |    01010000
 166  |    01001111
 168  |    01001110
 173  |    01001101
 172  |    01001100
 177  |    01001011
 60   |    01001010
 103  |    01001001
 41   |    01001000
 144  |    01000111
 157  |    01000110
 143  |    01000101
 152  |    01000100
 187  |    01000011
 100  |    01000010
 148  |    01000001
 160  |    01000000
 158  |    00111111
 150  |    00111110
 180  |    00111101
 156  |    00111100
 146  |    00111011
 186  |    00111010
 161  |    00111001
 169  |    00111000
 170  |    00110111
 174  |    00110110
 182  |    00101111
 164  |    00101101
 155  |    00101100
 102  |    00100101
 141  |    00100100
 101  |    00100001
 40   |    00100000
 183  |    00011001
 140  |    00011000
 142  |    00010001
 154  |    00010000
 175  |    00000111
 23   |    00000110
 104  |    00000001
 112  |   111101111
 44   |   111101110
 139  |   111101101
 178  |   111101100
 230  |   111101011
 162  |   111101010
 137  |   111100001
 43   |   111100000
 135  |   111011011
 105  |   111011010
 106  |   111001010
 42   |   110110111
 108  |   110110110
 107  |   110110101
 45   |   110110100
 48   |   110110011
 134  |   110110010
 115  |   110101111
 136  |   110101110
 128  |   110100011
 110  |   110100010
 109  |   110011111
 131  |   110011110
 138  |   110011001
 120  |   110011000
 59   |   110010111
 22   |   110010110
 231  |   110001111
 133  |   110001110
 119  |   110000101
 132  |   110000100
 118  |   110000001
 125  |   110000000
 124  |   101111011
 129  |   101111010
 121  |   101110101
 111  |   101110100
 46   |   101101111
 117  |   101101110
 122  |   101100111
 113  |   101100110
 130  |   101100101
 126  |   101100100
 49   |   101011100
 47   |   101010101
 127  |   101010100
 116  |   101000111
 21   |   101000110
 51   |   100110011
 123  |   100110010
 114  |   100100011
 232  |   100000011
 58   |   100000010
 57   |   011110101
 56   |   011110100
 50   |   011011011
 233  |   011011010
 54   |   011010001
 53   |   010100011
 52   |   010100010
 20   |   001011101
 234  |   001011100
 19   |   000000001
 55   |   000000000
 235  |  1010111011
 17   |  1001000101
 18   |  1001000100
 236  |  0110100000
 237  | 11100101110
 16   | 11100101101
 238  | 10101110100
 15   | 01101000011
 239  |111001011110
 14   |111001011000
 240  |101011101010
 13   |1110010111111
 242  |1110010111110
 241  |1110010110011
 243  |1110010110010
 244  |0110100001011
 1    |0110100001010
 245  |0110100001001
 246  |10101110101111
 3    |10101110101101
 12   |01101000010000
 11   |101011101011100
 247  |101011101011001
 8    |101011101011000
 248  |011010000100011
 10   |1010111010111010
 4    |0110100001000101
 2    |0110100001000100
 9    |101011101011101101
 249  |101011101011101100
 254  |101011101011101111
 6    |101011101011101110
Entropía de la fuente:  7.539257450330324
Longitud media del código de Huffman:  7.575202797487223
Varianza del código de Huffman:  0.8785466658282803
Eficiencia de la codificación original de la fuente:  0.9424071812912905
Eficiencia del nuevo código de Huffman:  0.9469003496859029
Memoria original:  1624056   Memoria comprimido:  1624056
Tasa de compresión:  0.0
Cantidad de simbolos en el diccionario:  249
Incoherencias:  0
Running command: python3 base5.py -i misc/4.1.07.tiff
